candidate,gene_set_scope,source,native,name,p_value,significant,query_size,term_size,intersection_size,effective_domain_size,precision,recall,intersection_genes,intersection_evidence_codes
Belinostat,disease_up_drug_down,GO:MF,GO:0003676,nucleic acid binding,0.003559987952421,True,95,2610,38,11154,0.4,0.01455938697318,81620 | 4171 | 5427 | 2305 | 24137 | 55355 | 4288 | 2237 | 4176 | 80324 | 5901 | 55734 | 7298 | 4001 | 6839 | 51067 | 5888 | 22827 | 5984 | 3068 | 3978 | 7153 | 79228 | 4234 | 4521 | 23481 | 1058 | 55215 | 54606 | 23649 | 8568 | 4605 | 23658 | 10813 | 8091 | 57109 | 4150 | 5036,ISS | IBA | IEA | TAS | IDA | HDA | IMP | EXP
Belinostat,disease_up_drug_down,GO:BP,GO:0019953,sexual reproduction,0.0036114052248444,True,95,644,15,11154,0.1578947368421052,0.0232919254658385,9133 | 5347 | 23397 | 11130 | 220134 | 4192 | 332 | 9319 | 10403 | 5888 | 7153 | 259266 | 7272 | 4751 | 993,IEA | ISS | IBA | TAS
Belinostat,disease_up_drug_down,REAC,REAC:R-HSA-983231,Factors involved in megakaryocyte development and platelet production,0.0040721413563379,True,95,121,6,11154,0.0631578947368421,0.0495867768595041,24137 | 146909 | 56992 | 3832 | 10112 | 3833,REAC
Belinostat,disease_up_drug_down,GO:MF,GO:0016887,ATP hydrolysis activity,0.0040923110911425,True,95,305,10,11154,0.1052631578947368,0.0327868852459016,4171 | 146909 | 56992 | 4176 | 9319 | 5888 | 5984 | 10112 | 3833 | 54606,IEA | IBA
Belinostat,disease_up_drug_down,REAC,REAC:R-HSA-179409,APC-Cdc20 mediated degradation of Nek2A,0.0042723551810986,True,95,20,3,11154,0.031578947368421,0.15,11065 | 4085 | 4751,REAC
Belinostat,disease_up_drug_down,REAC,REAC:R-HSA-5693538,Homology Directed Repair,0.0042723551810986,True,95,81,5,11154,0.0526315789473684,0.0617283950617283,5427 | 890 | 2237 | 5888 | 5984,REAC
Belinostat,disease_up_drug_down,GO:BP,GO:0007057,spindle assembly involved in female meiosis I,0.0044804240081073,True,95,4,2,11154,0.0210526315789473,0.5,9133 | 10403,IEA
Belinostat,disease_up_drug_down,GO:BP,GO:1905133,negative regulation of meiotic chromosome separation,0.0044804240081073,True,95,4,2,11154,0.0210526315789473,0.5,11130 | 7272,ISS | IBA | IEA
Belinostat,disease_up_drug_down,GO:BP,GO:1902103,negative regulation of metaphase/anaphase transition of meiotic cell cycle,0.0044804240081073,True,95,4,2,11154,0.0210526315789473,0.5,11130 | 7272,ISS | IBA | IEA
Belinostat,disease_up_drug_down,GO:BP,GO:1902102,regulation of metaphase/anaphase transition of meiotic cell cycle,0.0044804240081073,True,95,4,2,11154,0.0210526315789473,0.5,11130 | 7272,ISS | IBA | IEA
Belinostat,disease_up_drug_down,GO:BP,GO:0051664,nuclear pore localization,0.0044804240081073,True,95,4,2,11154,0.0210526315789473,0.5,84823 | 4001,IBA
Belinostat,disease_up_drug_down,GO:BP,GO:1905132,regulation of meiotic chromosome separation,0.0044804240081073,True,95,4,2,11154,0.0210526315789473,0.5,11130 | 7272,ISS | IBA | IEA
Belinostat,disease_up_drug_down,GO:BP,GO:0010389,regulation of G2/M transition of mitotic cell cycle,0.0045469871312717,True,95,75,5,11154,0.0526315789473684,0.0666666666666666,1019 | 5347 | 1063 | 9212 | 993,IDA | IBA | IMP | ISS
Belinostat,disease_up_drug_down,GO:BP,GO:0006302,double-strand break repair,0.0045755598317928,True,95,212,8,11154,0.0842105263157894,0.0377358490566037,4171 | 5347 | 2305 | 2237 | 4176 | 9319 | 5888 | 8091,IBA | IDA | IMP | TAS | ISS | IEA
Belinostat,disease_up_drug_down,GO:MF,GO:0008574,plus-end-directed microtubule motor activity,0.004663256857466,True,95,16,3,11154,0.031578947368421,0.1875,146909 | 56992 | 3832,IBA | ISS
Belinostat,disease_up_drug_down,GO:BP,GO:0022613,ribonucleoprotein complex biogenesis,0.0054147103706032,True,95,333,10,11154,0.1052631578947368,0.03003003003003,5901 | 6839 | 22827 | 23481 | 54606 | 8568 | 10813 | 57109 | 54663 | 5036,IMP | IBA | IEA | IC
Belinostat,disease_up_drug_down,GO:CC,GO:0043226,organelle,0.0054317276970159,True,95,8997,88,11154,0.9263157894736842,0.009781038123819,11065 | 81620 | 4171 | 5427 | 1019 | 84823 | 57761 | 9133 | 5347 | 2305 | 890 | 51512 | 24137 | 146909 | 80758 | 55355 | 55635 | 23397 | 54982 | 22974 | 11130 | 57405 | 9055 | 1063 | 4288 | 56992 | 1894 | 6241 | 220134 | 4085 | 10460 | 2237 | 26586 | 9837 | 4176 | 80324 | 23234 | 5901 | 55734 | 7298 | 8099 | 332 | 4001 | 6839 | 79019 | 9319 | 51067 | 4282 | 3832 | 10403 | 5888 | 22827 | 10330 | 5984 | 8985 | 3068 | 3978 | 7153 | 10112 | 9787 | 259266 | 699 | 79228 | 4234 | 55143 | 4521 | 3161 | 23481 | 7272 | 1058 | 9212 | 3833 | 55215 | 6472 | 54606 | 23649 | 8568 | 4751 | 4605 | 23658 | 11339 | 10813 | 8091 | 57109 | 993 | 54663 | 4150 | 5036,IDA | IBA | TAS | NAS | IEA | IPI | HDA | ISS | ISA | ISO | IMP | HTP | IC
Belinostat,disease_up_drug_down,GO:BP,GO:0006310,DNA recombination,0.0054486862137548,True,95,218,8,11154,0.0842105263157894,0.036697247706422,4171 | 5347 | 2237 | 4176 | 9319 | 5888 | 3978 | 7153,IBA | IDA | TAS | IEA | ISS | IMP
Belinostat,disease_up_drug_down,GO:BP,GO:0043170,macromolecule metabolic process,0.0060815797428873,True,95,5872,66,11154,0.6947368421052632,0.0112397820163487,11065 | 81620 | 4171 | 5427 | 1019 | 84823 | 57761 | 5347 | 2305 | 890 | 80758 | 55635 | 54982 | 22974 | 1063 | 1894 | 4085 | 4192 | 2237 | 26586 | 9837 | 4176 | 80324 | 5901 | 55734 | 7298 | 8099 | 332 | 4001 | 6839 | 9319 | 51067 | 4282 | 5888 | 22827 | 10330 | 5984 | 8985 | 3068 | 3978 | 7153 | 699 | 83461 | 79228 | 4234 | 4521 | 3161 | 23481 | 7272 | 9212 | 9833 | 55215 | 6472 | 54606 | 23649 | 8568 | 4751 | 4605 | 23658 | 10813 | 8091 | 57109 | 993 | 54663 | 4150 | 5036,IDA | IBA | TAS | IEA | IMP | NAS | ISS | IGI | IC
Belinostat,disease_up_drug_down,GO:BP,GO:0071897,DNA biosynthetic process,0.0060815797428873,True,95,122,6,11154,0.0631578947368421,0.0491803278688524,5427 | 890 | 1063 | 7298 | 5984 | 3978,IBA | IEA | IC | IDA
Belinostat,disease_up_drug_down,GO:BP,GO:0007097,nuclear migration,0.0062236122241325,True,95,20,3,11154,0.031578947368421,0.15,84823 | 10460 | 4001,IBA
Belinostat,disease_up_drug_down,REAC,REAC:R-HSA-5696397,Gap-filling DNA repair synthesis and ligation in GG-NER,0.0063438891096955,True,95,23,3,11154,0.031578947368421,0.1304347826086956,5427 | 5984 | 3978,REAC
Belinostat,disease_up_drug_down,REAC,REAC:R-HSA-2980767,"Activation of NIMA Kinases NEK9, NEK6, NEK7",0.0069613528327602,True,95,6,2,11154,0.0210526315789473,0.3333333333333333,9133 | 5347,REAC
Belinostat,disease_up_drug_down,REAC,REAC:R-HSA-69205,G1/S-Specific Transcription,0.0069613528327602,True,95,24,3,11154,0.031578947368421,0.125,81620 | 6241 | 7298,REAC
Belinostat,disease_up_drug_down,GO:BP,GO:1902749,regulation of cell cycle G2/M phase transition,0.0069850187709686,True,95,83,5,11154,0.0526315789473684,0.0602409638554216,1019 | 5347 | 1063 | 9212 | 993,IDA | IBA | IMP | ISS | IEA
Belinostat,disease_up_drug_down,GO:BP,GO:0045876,positive regulation of sister chromatid cohesion,0.007041148464429,True,95,5,2,11154,0.0210526315789473,0.4,2237 | 699,IMP
Belinostat,disease_up_drug_down,GO:BP,GO:0044785,metaphase/anaphase transition of meiotic cell cycle,0.007041148464429,True,95,5,2,11154,0.0210526315789473,0.4,11130 | 7272,ISS | IBA | IEA
Belinostat,disease_up_drug_down,GO:BP,GO:0039694,viral RNA genome replication,0.0070674308433727,True,95,21,3,11154,0.031578947368421,0.1428571428571428,7153 | 54606 | 8091,IMP | IDA
Belinostat,disease_up_drug_down,GO:CC,GO:0034399,nuclear periphery,0.0075657366769549,True,95,26,3,11154,0.031578947368421,0.1153846153846153,84823 | 4001 | 6839,IBA | IEA | IMP
Belinostat,disease_up_drug_down,GO:CC,GO:0042555,MCM complex,0.0080634405929402,True,95,7,2,11154,0.0210526315789473,0.2857142857142857,4171 | 4176,IDA | IPI | IBA | IEA | IMP
Belinostat,disease_up_drug_down,KEGG,KEGG:03410,Base excision repair,0.0083483811933584,True,95,41,4,11154,0.0421052631578947,0.0975609756097561,5427 | 2237 | 5984 | 3978,KEGG
Belinostat,disease_up_drug_down,GO:BP,GO:0070507,regulation of microtubule cytoskeleton organization,0.0085435587594964,True,95,131,6,11154,0.0631578947368421,0.0458015267175572,5347 | 22974 | 220134 | 10460 | 26586 | 9212,IDA | ISS | IEA | IBA | IMP
Belinostat,disease_up_drug_down,GO:BP,GO:0051656,establishment of organelle localization,0.0088283186600291,True,95,295,9,11154,0.0947368421052631,0.0305084745762711,84823 | 5347 | 220134 | 4085 | 10460 | 5901 | 4001 | 10403 | 1058,IBA | IDA | ISS | IMP
Belinostat,disease_up_drug_down,REAC,REAC:R-HSA-8854518,AURKA Activation by TPX2,0.0088861853228116,True,95,57,4,11154,0.0421052631578947,0.0701754385964912,5347 | 22974 | 3161 | 4751,REAC
Belinostat,disease_up_drug_down,GO:MF,GO:0017116,single-stranded DNA helicase activity,0.0088972693364287,True,95,46,4,11154,0.0421052631578947,0.0869565217391304,4171 | 4176 | 5888 | 5984,IBA | IEA | IDA | IMP
Belinostat,disease_up_drug_down,REAC,REAC:R-HSA-110362,POLB-Dependent Long Patch Base Excision Repair,0.009127530993768,True,95,7,2,11154,0.0210526315789473,0.2857142857142857,2237 | 3978,REAC
Belinostat,disease_up_drug_down,REAC,REAC:R-HSA-68952,DNA replication initiation,0.009127530993768,True,95,7,2,11154,0.0210526315789473,0.2857142857142857,5427 | 23649,REAC
Belinostat,disease_up_drug_down,REAC,REAC:R-HSA-2559586,DNA Damage/Telomere Stress Induced Senescence,0.0092490281266905,True,95,27,3,11154,0.031578947368421,0.1111111111111111,890 | 4001 | 8091,REAC
Belinostat,disease_up_drug_down,GO:BP,GO:0006275,regulation of DNA replication,0.0093013655197508,True,95,89,5,11154,0.0526315789473684,0.0561797752808988,81620 | 4171 | 890 | 4176 | 993,IDA | IMP | IBA | IEA | NAS | TAS
Belinostat,disease_up_drug_down,GO:CC,GO:0097431,mitotic spindle pole,0.0100586815750872,True,95,29,3,11154,0.031578947368421,0.1034482758620689,5347 | 259266 | 9212,IEA | IDA
Belinostat,disease_up_drug_down,GO:BP,GO:1901994,negative regulation of meiotic cell cycle phase transition,0.0101864389701957,True,95,6,2,11154,0.0210526315789473,0.3333333333333333,11130 | 7272,ISS | IBA | IEA
Belinostat,disease_up_drug_down,GO:BP,GO:0045835,negative regulation of meiotic nuclear division,0.0101864389701957,True,95,6,2,11154,0.0210526315789473,0.3333333333333333,11130 | 9319,ISS | IBA
Belinostat,disease_up_drug_down,GO:MF,GO:0120545,nucleic acid conformation isomerase activity,0.0102982614954518,True,95,127,6,11154,0.0631578947368421,0.0472440944881889,4171 | 4176 | 5888 | 5984 | 7153 | 54606,IBA | IEA | IDA | IMP | TAS
Belinostat,disease_up_drug_down,GO:BP,GO:0051338,regulation of transferase activity,0.0106897206184016,True,95,304,9,11154,0.0947368421052631,0.0296052631578947,11065 | 57761 | 5347 | 22974 | 1894 | 4085 | 5984 | 8091 | 993,TAS | IDA | ISS | IMP | IEA
