description,effective_domain_size,goshv,intersection_size,intersections,name,native,p_value,parents,precision,query,query_size,recall,significant,source,term_size,source_order,group_id,candidate,gene_set_scope,intersection_genes,intersection_evidence_codes
Cell Cycle Checkpoints,11154,39662,19,"[[""REAC""], [], [], [""REAC""], [""REAC""], [""REAC""], [""REAC""], [], [], [], [], [], [], [""REAC""], [], [], [], [], [""REAC""], [], [], [""REAC""], [], [], [], [], [], [], [], [], [], [], [""REAC""], [""REAC""], [""REAC""], [], [], [""REAC""], [], [], [], [], [], [], [], [], [], [], [], [], [], [""REAC""], [], [], [], [], [""REAC""], [], [], [], [], [""REAC""], [], [""REAC""], [], [], [], [], [], [], [], [], [], [""REAC""], [], [""REAC""], [""REAC""]]",Cell Cycle Checkpoints,REAC:R-HSA-69620,1.6784055305525233e-14,"[""REAC:R-HSA-1640170""]",0.24675324675324675,query_1,77,0.09090909090909091,True,REAC,209,338,48,Mocetinostat,disease_up_drug_down,332 | 5347 | 890 | 699 | 55388 | 11065 | 9133 | 991 | 27338 | 220134 | 5982 | 11130 | 4085 | 993 | 990 | 10926 | 55055 | 79902 | 55839,REAC
"""The region of a chromosome that includes the centromeric DNA and associated proteins. In monocentric chromosomes, this region corresponds to a single area of the chromosome, whereas in holocentric chromosomes, it is evenly distributed along the chromosome."" [GOC:cjm, GOC:elh, GOC:kmv, GOC:pr]",11154,34752,18,"[[""IDA"", ""IBA"", ""IEA""], [], [], [""IDA"", ""IBA"", ""IEA""], [], [""IDA"", ""IBA"", ""IEA""], [], [""IDA"", ""IBA"", ""IEA""], [], [], [], [], [""TAS""], [], [], [], [""IBA""], [], [], [""IEA""], [], [""ISS"", ""IEA""], [], [""IBA"", ""IEA""], [""IEA""], [], [], [], [], [""IEA""], [], [""IEA""], [], [""IDA"", ""IPI"", ""IBA"", ""IEA""], [], [], [], [""IDA"", ""IBA"", ""NAS"", ""IEA""], [], [], [], [], [], [], [], [], [], [], [], [], [], [""IDA"", ""IBA"", ""IEA""], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [""IDA"", ""IPI"", ""IBA"", ""IEA""], [], [""IDA"", ""IEA""], [""IPI"", ""IEA""]]","chromosome, centromeric region",GO:0000775,1.7896972255077212e-14,"[""GO:0098687""]",0.23376623376623376,query_1,77,0.10112359550561797,True,GO:CC,178,83,11,Mocetinostat,disease_up_drug_down,332 | 5347 | 699 | 55355 | 3835 | 6790 | 7153 | 991 | 7272 | 64151 | 2146 | 6839 | 220134 | 11130 | 4085 | 55055 | 79902 | 55839,IDA | IBA | IEA | TAS | ISS | IPI | NAS
"""Any process that modulates the frequency, rate or extent of chromosome segregation, the process in which genetic material, in the form of chromosomes, is organized and then physically separated and apportioned to two or more sets."" [GOC:ai]",11154,23226,15,"[[""NAS""], [], [], [""IDA"", ""IMP"", ""TAS""], [], [""IMP"", ""IBA"", ""TAS"", ""IEA""], [], [], [], [], [], [], [], [""IDA"", ""IBA""], [], [], [], [], [], [], [], [""IDA"", ""IMP"", ""ISS"", ""NAS"", ""IEA""], [], [""IDA"", ""IBA"", ""TAS"", ""IEA""], [""ISO"", ""IEA""], [""NAS""], [], [""ISO"", ""IEA""], [""IMP""], [], [], [], [], [""IMP""], [], [], [], [""IDA"", ""ISS"", ""IBA""], [], [], [], [], [], [], [], [], [], [], [], [], [], [""IDA"", ""IBA"", ""NAS"", ""IEA""], [], [], [], [], [], [], [], [], [], [""IDA"", ""IMP""], [], [], [], [], [], [], [], [], [], [], [], [""IMP"", ""IBA"", ""IEA""], [], [], []]",regulation of chromosome segregation,GO:0051983,2.034259327737278e-14,"[""GO:0007059"", ""GO:0010564""]",0.19480519480519481,query_1,77,0.14423076923076922,True,GO:BP,104,13103,19,Mocetinostat,disease_up_drug_down,332 | 5347 | 699 | 11065 | 991 | 7272 | 64151 | 9787 | 23397 | 10460 | 220134 | 11130 | 4085 | 990 | 55055,NAS | IDA | IMP | TAS | IBA | IEA | ISS | ISO
"""The cell cycle process in which paired chromosomes are detached from each other. Chromosome separation begins with the release of cohesin complexes from chromosomes; in budding yeast, this includes the cleavage of cohesin complexes along the chromosome arms, followed by the separation of the centromeric regions. Chromosome separation also includes formation of chromatid axes mediated by condensins, and ends with the disentangling of inter-sister catenation catalyzed by topoisomerase II (topo II)."" [GOC:ai, GOC:lb, GOC:mah, GOC:mtg_cell_cycle, PMID:20352243]",11154,22856,13,"[[""NAS""], [], [], [""IMP""], [], [""IMP"", ""IBA"", ""TAS"", ""IEA""], [], [], [], [], [], [], [], [""IDA""], [], [], [], [], [], [], [], [""IDA"", ""NAS""], [], [""IDA"", ""IBA"", ""TAS"", ""IEA""], [""ISO"", ""IEA""], [""NAS""], [], [""ISO"", ""IEA""], [], [], [], [], [], [""IMP""], [], [], [], [""IDA"", ""ISS"", ""IBA""], [], [], [], [], [], [], [], [], [], [], [], [], [], [""IDA"", ""IBA"", ""NAS"", ""IEA""], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [""IMP"", ""IBA"", ""IEA""], [], [], []]",chromosome separation,GO:0051304,2.034259327737278e-14,"[""GO:0007059"", ""GO:0022402""]",0.16883116883116883,query_1,77,0.203125,True,GO:BP,64,12733,19,Mocetinostat,disease_up_drug_down,332 | 5347 | 699 | 11065 | 991 | 7272 | 64151 | 9787 | 23397 | 220134 | 11130 | 4085 | 55055,NAS | IMP | IBA | TAS | IEA | IDA | ISO | ISS
"""Any process that modulates the frequency, rate or extent of cell cycle phase transition."" [GOC:mtg_cell_cycle, GOC:TermGenie, PMID:22841721]",11154,30567,21,"[[""NAS""], [], [""NAS""], [""IDA"", ""IMP"", ""TAS""], [], [""IMP"", ""IBA"", ""TAS"", ""IEA""], [], [], [], [], [], [], [], [""IDA"", ""IMP"", ""IBA""], [], [], [""TAS""], [], [], [], [], [""IDA"", ""NAS""], [""IMP""], [""IDA"", ""IBA"", ""TAS"", ""IEA""], [], [""NAS""], [], [], [], [""IMP"", ""IEA""], [], [], [], [""IMP""], [], [], [], [""IDA"", ""ISS"", ""IBA"", ""IEA""], [], [], [""IDA""], [], [], [], [], [], [], [], [], [], [], [""IDA"", ""IBA"", ""NAS"", ""IEA""], [], [], [], [], [""IDA"", ""IBA"", ""IEA""], [], [], [], [], [""IMP"", ""IBA"", ""TAS""], [], [""IBA""], [], [""IDA""], [], [], [], [], [], [], [""IMP"", ""IBA"", ""IEA""], [""IMP"", ""IBA"", ""IEA""], [], [], []]",regulation of cell cycle phase transition,GO:1901987,1.1472573852269273e-13,"[""GO:0010564"", ""GO:0044770""]",0.2727272727272727,query_1,77,0.06624605678233439,True,GO:BP,317,20444,19,Mocetinostat,disease_up_drug_down,332 | 5888 | 5347 | 699 | 11065 | 6790 | 991 | 9928 | 7272 | 9787 | 2146 | 220134 | 11130 | 6241 | 4085 | 993 | 990 | 10926 | 6491 | 54962 | 55055,NAS | IDA | IMP | TAS | IBA | IEA | ISS
"""The cell cycle process in which a cell progresses from metaphase to anaphase during mitosis, triggered by the activation of the anaphase promoting complex by Cdc20/Sleepy homolog which results in the degradation of Securin."" [GOC:mtg_cell_cycle, PMID:10465783]",11154,12664,13,"[[""NAS""], [], [], [""IDA"", ""IMP"", ""TAS""], [], [""IMP"", ""IBA"", ""TAS"", ""IEA""], [], [], [], [], [], [], [], [""IDA"", ""IBA""], [], [], [], [], [], [], [], [""IDA"", ""NAS""], [], [""IDA"", ""IBA"", ""TAS"", ""IEA""], [], [""NAS""], [], [], [""IMP""], [], [], [], [], [""IMP""], [], [], [], [""IDA"", ""IBA""], [], [], [], [], [], [], [], [], [], [], [], [], [], [""IDA"", ""IBA"", ""NAS"", ""IEA""], [], [], [], [], [], [], [], [], [], [""IMP""], [], [], [], [], [], [], [], [], [], [], [], [""IMP"", ""IBA"", ""IEA""], [], [], []]",metaphase/anaphase transition of mitotic cell cycle,GO:0007091,2.024661095108693e-13,"[""GO:0044772"", ""GO:0044784""]",0.16883116883116883,query_1,77,0.17105263157894737,True,GO:BP,76,2541,19,Mocetinostat,disease_up_drug_down,332 | 5347 | 699 | 11065 | 991 | 7272 | 9787 | 10460 | 220134 | 11130 | 4085 | 990 | 55055,NAS | IDA | IMP | TAS | IBA | IEA
"""Any subdivision of a chromosome along its length."" [GOC:dos]",11154,37842,20,"[[""IDA"", ""IBA"", ""IEA""], [], [""IDA"", ""IEA""], [""IDA"", ""IBA"", ""IEA""], [], [""IDA"", ""IBA"", ""IEA""], [], [""IDA"", ""IBA"", ""IEA""], [], [], [], [], [""TAS""], [], [], [], [""IBA""], [], [], [""IEA""], [], [""ISS"", ""IEA""], [], [""IBA"", ""IEA""], [""IEA""], [], [], [], [], [""IGI"", ""IEA""], [], [""IEA""], [], [""IDA"", ""IPI"", ""IBA"", ""IEA""], [], [], [], [""IDA"", ""IBA"", ""NAS"", ""IEA""], [], [""IDA"", ""HDA""], [], [], [], [], [], [], [], [], [], [], [], [""IDA"", ""IBA"", ""IEA""], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [""IDA"", ""IPI"", ""IBA"", ""IEA""], [], [""IDA"", ""IEA""], [""IPI"", ""IEA""]]",chromosomal region,GO:0098687,2.1952230471394446e-13,"[""GO:0005694"", ""GO:0110165""]",0.2597402597402597,query_1,77,0.0706713780918728,True,GO:CC,283,3173,11,Mocetinostat,disease_up_drug_down,332 | 5888 | 5347 | 699 | 55355 | 3835 | 6790 | 7153 | 991 | 7272 | 64151 | 2146 | 6839 | 220134 | 11130 | 2237 | 4085 | 55055 | 79902 | 55839,IDA | IBA | IEA | TAS | ISS | IGI | IPI | NAS | HDA
"""The cell cycle process in which a cell progresses from metaphase to anaphase as part of the cell cycle."" [GOC:mtg_cell_cycle]",11154,20528,13,"[[""NAS""], [], [], [""IDA"", ""IMP"", ""TAS""], [], [""IMP"", ""IBA"", ""TAS"", ""IEA""], [], [], [], [], [], [], [], [""IDA"", ""IBA""], [], [], [], [], [], [], [], [""IDA"", ""IMP"", ""ISS"", ""NAS"", ""IEA""], [], [""IDA"", ""IBA"", ""TAS"", ""IEA""], [], [""NAS""], [], [], [""IMP""], [], [], [], [], [""IMP""], [], [], [], [""IDA"", ""ISS"", ""IBA""], [], [], [], [], [], [], [], [], [], [], [], [], [], [""IDA"", ""IBA"", ""NAS"", ""IEA""], [], [], [], [], [], [], [], [], [], [""IMP""], [], [], [], [], [], [], [], [], [], [], [], [""IMP"", ""IBA"", ""IEA""], [], [], []]",metaphase/anaphase transition of cell cycle,GO:0044784,2.7713973496219167e-13,"[""GO:0033045"", ""GO:0044770""]",0.16883116883116883,query_1,77,0.16666666666666666,True,GO:BP,78,10405,19,Mocetinostat,disease_up_drug_down,332 | 5347 | 699 | 11065 | 991 | 7272 | 9787 | 10460 | 220134 | 11130 | 4085 | 990 | 55055,NAS | IDA | IMP | TAS | IBA | IEA | ISS
"""Any process that activates or increases the rate or extent of progression through the cell cycle."" [GOC:go_curators]",11154,20970,19,"[[""NAS""], [], [], [], [], [""IMP""], [], [], [], [], [], [], [], [""IDA"", ""IMP""], [""IDA"", ""IMP""], [], [""ISS"", ""TAS""], [], [], [], [], [""IDA""], [""IMP""], [], [""ISO"", ""IEA""], [""NAS""], [], [""ISO"", ""IEA""], [], [""IMP""], [], [], [], [""IMP""], [], [], [], [], [], [""IMP""], [""IDA""], [], [], [], [], [], [], [], [], [], [], [""IDA"", ""IEA""], [], [], [], [], [""IDA"", ""IBA"", ""IEA""], [], [], [], [], [""IDA"", ""IMP"", ""TAS""], [], [""IBA""], [], [""IDA"", ""NAS""], [], [], [], [], [], [], [], [], [], [], []]",positive regulation of cell cycle,GO:0045787,3.4931214082020127e-13,"[""GO:0007049"", ""GO:0048522"", ""GO:0051726""]",0.24675324675324675,query_1,77,0.07421875,True,GO:BP,256,10847,19,Mocetinostat,disease_up_drug_down,332 | 699 | 11065 | 29127 | 6790 | 991 | 9928 | 64151 | 9787 | 23397 | 2146 | 220134 | 2237 | 6241 | 4085 | 993 | 990 | 10926 | 6491,NAS | IMP | IDA | ISS | TAS | ISO | IEA | IBA
"""The array of microtubules and associated molecules that forms between opposite poles of a eukaryotic cell during mitosis or meiosis and serves to move the duplicated chromosomes apart."" [ISBN:0198547684]",11154,35027,20,"[[""IBA"", ""IEA""], [], [], [""IDA"", ""IBA"", ""IEA""], [], [], [], [], [""IDA"", ""ISS"", ""TAS"", ""IEA""], [], [], [""IDA"", ""IEA""], [""IDA"", ""IEA""], [], [""IDA"", ""IMP"", ""IBA"", ""IEA""], [], [""IDA"", ""IBA"", ""TAS"", ""IEA""], [""IDA"", ""IEA""], [], [], [], [""TAS"", ""IEA""], [""IDA"", ""IEA""], [""TAS""], [], [""IDA"", ""IBA"", ""IEA""], [], [], [""IDA"", ""IEA""], [], [], [], [], [""IDA"", ""IBA"", ""IEA""], [], [], [], [], [""ISS"", ""IEA""], [], [], [], [], [], [], [], [], [], [], [], [], [""IDA"", ""IEA""], [], [], [], [], [], [], [], [], [], [""IDA""], [], [], [], [], [], [], [""IMP"", ""IEA""], [], [], [], [], [""NAS""], [], [""IEA""], []]",spindle,GO:0005819,4.624534930189712e-13,"[""GO:0015630"", ""GO:0043232""]",0.2597402597402597,query_1,77,0.06557377049180328,True,GO:CC,305,358,11,Mocetinostat,disease_up_drug_down,332 | 5347 | 22974 | 26586 | 3835 | 29127 | 6790 | 10112 | 991 | 9928 | 7272 | 9787 | 10460 | 220134 | 56992 | 4085 | 990 | 8480 | 55055 | 79902,IBA | IEA | IDA | ISS | TAS | IMP | NAS
"""The volume enclosed by the nuclear inner membrane."" [GOC:mah, GOC:pz]",11154,35867,56,"[[""IDA"", ""TAS""], [""IPI"", ""ISS"", ""IBA"", ""TAS"", ""IEA""], [""IDA"", ""ISS"", ""IBA"", ""TAS"", ""IEA""], [""TAS"", ""IEA""], [""IDA"", ""TAS""], [""IDA""], [""IDA"", ""IBA"", ""TAS""], [""IDA"", ""TAS"", ""IEA""], [""IDA"", ""TAS""], [], [""IDA""], [""IDA""], [""IDA""], [""TAS""], [""IDA""], [""IDA"", ""IBA""], [""IDA"", ""TAS""], [""IDA"", ""TAS""], [], [""IDA"", ""TAS"", ""IEA""], [""TAS""], [""IDA"", ""TAS""], [], [], [""ISO"", ""IEA""], [], [], [""IDA"", ""ISO"", ""IEA""], [], [""IDA"", ""IBA"", ""TAS"", ""IEA""], [], [""IDA"", ""IPI"", ""TAS"", ""IEA""], [""TAS""], [""IDA""], [""TAS""], [], [""IBA"", ""TAS"", ""NAS"", ""IEA""], [""IDA"", ""IBA""], [], [""IDA"", ""TAS"", ""IEA""], [""IDA""], [""IDA"", ""TAS""], [""IDA"", ""TAS""], [""IDA"", ""TAS""], [""IDA""], [""TAS""], [""IDA"", ""IBA"", ""TAS"", ""IEA""], [], [], [""IDA"", ""IBA"", ""IEA""], [""IDA"", ""TAS""], [""IDA"", ""IBA""], [""IDA"", ""IBA"", ""TAS""], [], [], [], [""TAS""], [], [], [], [""IDA"", ""IEA""], [""IDA"", ""TAS""], [""IDA"", ""TAS""], [""IDA"", ""TAS"", ""IEA""], [""IDA""], [""IDA""], [""IDA"", ""IBA"", ""IEA""], [""IDA"", ""IBA"", ""TAS"", ""IEA""], [""IDA""], [""IDA"", ""IBA"", ""TAS"", ""IEA""], [""IDA"", ""IPI"", ""IBA"", ""TAS"", ""IEA""], [], [""IBA"", ""TAS""], [], [], [""IDA""], [""IDA"", ""IBA"", ""TAS""]]",nuclear lumen,GO:0031981,4.624534930189712e-13,"[""GO:0005634"", ""GO:0070013""]",0.7272727272727273,query_1,77,0.01687255197348599,True,GO:CC,3319,1198,11,Mocetinostat,disease_up_drug_down,332 | 51659 | 5888 | 5347 | 890 | 699 | 55388 | 55355 | 22974 | 55723 | 26586 | 3835 | 11065 | 29127 | 79080 | 6790 | 10112 | 7153 | 2305 | 991 | 64151 | 23397 | 2146 | 6839 | 27338 | 220134 | 5982 | 25855 | 11130 | 2237 | 6241 | 3978 | 55215 | 22827 | 23234 | 6636 | 10921 | 51491 | 27000 | 4085 | 79728 | 993 | 57109 | 990 | 5901 | 10926 | 899 | 6491 | 55299 | 10528 | 8480 | 54606 | 23649 | 54962 | 79902 | 55839,IDA | TAS | IPI | ISS | IBA | IEA | ISO | NAS
"""The region of a condensed chromosome that includes the centromere and associated proteins, including the kinetochore. In monocentric chromosomes, this region corresponds to a single area of the chromosome, whereas in holocentric chromosomes, it is evenly distributed along the chromosome."" [GOC:elh, GOC:kmv]",11154,34754,15,"[[""IDA"", ""IBA"", ""IEA""], [], [], [""IDA"", ""IBA"", ""IEA""], [], [""IDA"", ""IBA"", ""IEA""], [], [""IDA""], [], [], [], [], [""TAS""], [], [], [], [""IBA""], [], [], [], [], [""ISS"", ""IEA""], [], [""IBA"", ""IEA""], [""IEA""], [], [], [], [], [], [], [], [], [""IDA"", ""IPI"", ""IBA"", ""IEA""], [], [], [], [""IDA"", ""IBA"", ""NAS"", ""IEA""], [], [], [], [], [], [], [], [], [], [], [], [], [], [""IDA"", ""IBA"", ""IEA""], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [""IDA"", ""IPI"", ""IBA"", ""IEA""], [], [""IDA"", ""IEA""], [""IPI"", ""IEA""]]","condensed chromosome, centromeric region",GO:0000779,4.624534930189712e-13,"[""GO:0000775"", ""GO:0000793""]",0.19480519480519481,query_1,77,0.11450381679389313,True,GO:CC,131,85,11,Mocetinostat,disease_up_drug_down,332 | 5347 | 699 | 55355 | 3835 | 6790 | 991 | 7272 | 64151 | 220134 | 11130 | 4085 | 55055 | 79902 | 55839,IDA | IBA | IEA | TAS | ISS | IPI | NAS
"""Any process that modulates the frequency, rate or extent of sister chromatid segregation."" [GOC:mah]",11154,17607,13,"[[""NAS""], [], [], [""IDA"", ""IMP"", ""TAS""], [], [""IMP"", ""IBA"", ""TAS"", ""IEA""], [], [], [], [], [], [], [], [""IDA"", ""IBA""], [], [], [], [], [], [], [], [""IDA"", ""IMP"", ""ISS"", ""NAS"", ""IEA""], [], [""IDA"", ""IBA"", ""TAS"", ""IEA""], [], [""NAS""], [], [], [""IMP""], [], [], [], [], [""IMP""], [], [], [], [""IDA"", ""ISS"", ""IBA""], [], [], [], [], [], [], [], [], [], [], [], [], [], [""IDA"", ""IBA"", ""NAS"", ""IEA""], [], [], [], [], [], [], [], [], [], [""IMP""], [], [], [], [], [], [], [], [], [], [], [], [""IMP"", ""IBA"", ""IEA""], [], [], []]",regulation of sister chromatid segregation,GO:0033045,6.770129785510232e-13,"[""GO:0000819"", ""GO:0033044"", ""GO:0051983""]",0.16883116883116883,query_1,77,0.15476190476190477,True,GO:BP,84,7484,19,Mocetinostat,disease_up_drug_down,332 | 5347 | 699 | 11065 | 991 | 7272 | 9787 | 10460 | 220134 | 11130 | 4085 | 990 | 55055,NAS | IDA | IMP | TAS | IBA | IEA | ISS
"""Any process that modulates the frequency, rate or extent of mitotic sister chromatid separation. Mitotic sister chromatid separation is the process in which sister chromatids are physically detached from each other during mitosis."" [GOC:dph, GOC:tb]",11154,14450,11,"[[""NAS""], [], [], [""IMP""], [], [""IMP"", ""IBA"", ""TAS"", ""IEA""], [], [], [], [], [], [], [], [""IDA""], [], [], [], [], [], [], [], [""IDA"", ""NAS""], [], [""IDA"", ""IBA"", ""TAS"", ""IEA""], [], [""NAS""], [], [], [], [], [], [], [], [""IMP""], [], [], [], [""IDA"", ""IBA""], [], [], [], [], [], [], [], [], [], [], [], [], [], [""IDA"", ""IBA"", ""NAS"", ""IEA""], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [""IMP"", ""IBA"", ""IEA""], [], [], []]",regulation of mitotic sister chromatid separation,GO:0010965,6.770129785510232e-13,"[""GO:0051306"", ""GO:1905818""]",0.14285714285714285,query_1,77,0.23404255319148937,True,GO:BP,47,4327,19,Mocetinostat,disease_up_drug_down,332 | 5347 | 699 | 11065 | 991 | 7272 | 9787 | 220134 | 11130 | 4085 | 55055,NAS | IMP | IBA | TAS | IEA | IDA
"""A membrane-bounded organelle of eukaryotic cells in which chromosomes are housed and replicated. In most cells, the nucleus contains all of the cell's chromosomes except the organellar chromosomes, and is the site of RNA synthesis and processing. In some species, or in specialized cell types, RNA metabolism or DNA replication may be absent."" [GOC:go_curators]",11154,34907,67,"[[""IDA"", ""IPI"", ""TAS"", ""IEA""], [""IDA"", ""IPI"", ""ISS"", ""IBA"", ""TAS"", ""NAS"", ""IEA""], [""IDA"", ""ISS"", ""IBA"", ""TAS"", ""IEA""], [""IDA"", ""IBA"", ""TAS"", ""IEA""], [""IDA"", ""IBA"", ""TAS"", ""IEA""], [""IDA"", ""IBA"", ""IEA""], [""IDA"", ""IMP"", ""IBA"", ""TAS"", ""IEA""], [""IDA"", ""TAS"", ""IEA""], [""IDA"", ""TAS"", ""IEA""], [], [""IDA"", ""IBA"", ""IEA""], [""IDA""], [""IDA"", ""TAS"", ""IEA""], [""IDA"", ""IBA"", ""TAS""], [""IDA"", ""IBA"", ""IEA""], [""IDA"", ""IBA"", ""IEA""], [""IDA"", ""IBA"", ""TAS"", ""IEA""], [""IDA"", ""IBA"", ""TAS""], [""IBA""], [""IDA"", ""IBA"", ""TAS"", ""IEA""], [""IBA"", ""TAS"", ""IEA""], [""IDA"", ""IPI"", ""IBA"", ""TAS"", ""NAS""], [""IEA""], [""IBA""], [""ISO"", ""NAS"", ""IEA""], [""IDA"", ""IBA"", ""IEA""], [], [""IDA"", ""ISO"", ""IEA""], [], [""IDA"", ""IBA"", ""TAS"", ""IEA""], [""IDA"", ""IBA"", ""IEA""], [""IDA"", ""IPI"", ""IBA"", ""TAS"", ""IEA""], [""IDA"", ""IBA"", ""TAS""], [""IDA""], [""IDA"", ""IBA"", ""TAS"", ""IEA""], [], [""IDA"", ""IBA"", ""TAS"", ""NAS"", ""IEA""], [""IDA"", ""IBA"", ""IEA""], [], [""IDA"", ""IBA"", ""TAS"", ""IEA""], [""IDA"", ""IEA""], [""IDA"", ""IBA"", ""TAS"", ""IEA""], [""IDA"", ""TAS"", ""IEA""], [""IDA"", ""TAS"", ""IEA""], [""IDA"", ""HDA"", ""IBA"", ""IEA""], [""IDA"", ""IPI"", ""IBA"", ""TAS"", ""NAS"", ""IEA""], [""IDA"", ""IBA"", ""TAS"", ""IEA""], [], [""HDA""], [""IDA"", ""IBA"", ""IEA""], [""IDA"", ""TAS"", ""IEA""], [""IDA"", ""IPI"", ""IBA"", ""IEA""], [""IDA"", ""IBA"", ""TAS"", ""NAS"", ""IEA""], [""IDA"", ""IBA"", ""IEA""], [""IDA"", ""HDA"", ""IEA""], [], [""IBA"", ""TAS"", ""IEA""], [], [""IEA""], [""IDA"", ""IBA"", ""IEA""], [""IDA"", ""IBA"", ""NAS"", ""IEA""], [""IDA"", ""IBA"", ""TAS"", ""IEA""], [""IDA"", ""HDA"", ""IBA"", ""TAS"", ""NAS"", ""IEA""], [""IDA"", ""IBA"", ""TAS"", ""IEA""], [""IDA"", ""IBA"", ""IEA""], [""IDA""], [""IDA"", ""IBA"", ""IEA""], [""IDA"", ""IBA"", ""TAS"", ""IEA""], [""IDA"", ""IBA"", ""TAS"", ""NAS"", ""IEA""], [""IDA"", ""IBA"", ""TAS"", ""IEA""], [""IDA"", ""IPI"", ""IBA"", ""TAS"", ""IEA""], [""IDA"", ""HDA"", ""TAS"", ""IEA""], [""IDA"", ""IBA"", ""TAS"", ""IEA""], [], [], [""IDA"", ""IBA"", ""TAS"", ""NAS"", ""IEA""], [""IDA"", ""IBA"", ""TAS"", ""NAS"", ""IEA""]]",nucleus,GO:0005634,7.620553334352863e-13,"[""GO:0043231""]",0.8701298701298701,query_1,77,0.013283108643933386,True,GO:CC,5044,238,11,Mocetinostat,disease_up_drug_down,332 | 51659 | 5888 | 5347 | 890 | 699 | 55388 | 55355 | 22974 | 55723 | 26586 | 3835 | 11065 | 29127 | 79080 | 6790 | 10112 | 9133 | 7153 | 2305 | 991 | 9928 | 7272 | 64151 | 9787 | 23397 | 2146 | 55635 | 6839 | 27338 | 220134 | 5982 | 25855 | 11130 | 2237 | 6241 | 3978 | 55215 | 22827 | 23234 | 6636 | 10921 | 7167 | 51491 | 27000 | 4085 | 79728 | 9898 | 5478 | 993 | 8427 | 55734 | 57109 | 990 | 5901 | 10926 | 899 | 6491 | 55299 | 10528 | 8480 | 54606 | 23649 | 4830 | 54962 | 79902 | 55839,IDA | IPI | TAS | IEA | ISS | IBA | NAS | IMP | ISO | HDA
"""The process in which sister chromatids are physically detached from each other during mitosis."" [GOC:ai]",11154,22858,11,"[[""NAS""], [], [], [""IMP""], [], [""IMP"", ""IBA"", ""TAS"", ""IEA""], [], [], [], [], [], [], [], [""IDA""], [], [], [], [], [], [], [], [""IDA"", ""NAS""], [], [""IDA"", ""IBA"", ""TAS"", ""IEA""], [], [""NAS""], [], [], [], [], [], [], [], [""IMP""], [], [], [], [""IDA"", ""IBA""], [], [], [], [], [], [], [], [], [], [], [], [], [], [""IDA"", ""IBA"", ""NAS"", ""IEA""], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [""IMP"", ""IBA"", ""IEA""], [], [], []]",mitotic sister chromatid separation,GO:0051306,1.046218473772468e-12,"[""GO:0000070"", ""GO:0051304"", ""GO:1903047""]",0.14285714285714285,query_1,77,0.22448979591836735,True,GO:BP,49,12735,19,Mocetinostat,disease_up_drug_down,332 | 5347 | 699 | 11065 | 991 | 7272 | 9787 | 220134 | 11130 | 4085 | 55055,NAS | IMP | IBA | TAS | IEA | IDA
